date,d,item_id,dept_id,cat_id,store_id,state_id,units_sold,sell_price,revenue,weekday,month,year,event_name_1,event_type_1
2015-06-15,d_1599,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,27,3.34,90.17999999999999,Monday,6,2015,,
2015-06-16,d_1600,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,6,3.34,20.04,Tuesday,6,2015,NBAFinalsEnd,Sporting
2015-06-17,d_1601,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.34,23.38,Wednesday,6,2015,,
2015-06-18,d_1602,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,8,3.34,26.72,Thursday,6,2015,Ramadan starts,Religious
2015-06-19,d_1603,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.34,46.76,Friday,6,2015,,
2015-06-20,d_1604,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.34,56.78,Saturday,6,2015,,
2015-06-21,d_1605,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.34,60.12,Sunday,6,2015,Father's day,Cultural
2015-06-22,d_1606,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.34,43.42,Monday,6,2015,,
2015-06-23,d_1607,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,1,3.34,3.34,Tuesday,6,2015,,
2015-06-24,d_1608,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.34,46.76,Wednesday,6,2015,,
2015-06-25,d_1609,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,9,3.34,30.06,Thursday,6,2015,,
2015-06-26,d_1610,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,6,3.34,20.04,Friday,6,2015,,
2015-06-27,d_1611,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,0,3.42,0.0,Saturday,6,2015,,
2015-06-28,d_1612,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,0,3.42,0.0,Sunday,6,2015,,
2015-06-29,d_1613,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,0,3.42,0.0,Monday,6,2015,,
2015-06-30,d_1614,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,8,3.42,27.36,Tuesday,6,2015,,
2015-07-01,d_1615,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,21,3.42,71.82,Wednesday,7,2015,,
2015-07-02,d_1616,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Thursday,7,2015,,
2015-07-03,d_1617,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Friday,7,2015,,
2015-07-04,d_1618,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Saturday,7,2015,IndependenceDay,National
2015-07-05,d_1619,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,27,3.42,92.34,Sunday,7,2015,,
2015-07-06,d_1620,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,21,3.42,71.82,Monday,7,2015,,
2015-07-07,d_1621,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Tuesday,7,2015,,
2015-07-08,d_1622,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,9,3.42,30.78,Wednesday,7,2015,,
2015-07-09,d_1623,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Thursday,7,2015,,
2015-07-10,d_1624,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Friday,7,2015,,
2015-07-11,d_1625,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,20,3.42,68.4,Saturday,7,2015,,
2015-07-12,d_1626,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Sunday,7,2015,,
2015-07-13,d_1627,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Monday,7,2015,,
2015-07-14,d_1628,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Tuesday,7,2015,,
2015-07-15,d_1629,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,1,3.42,3.42,Wednesday,7,2015,,
2015-07-16,d_1630,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Thursday,7,2015,,
2015-07-17,d_1631,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Friday,7,2015,,
2015-07-18,d_1632,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Saturday,7,2015,Eid al-Fitr,Religious
2015-07-19,d_1633,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Sunday,7,2015,,
2015-07-20,d_1634,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Monday,7,2015,,
2015-07-21,d_1635,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Tuesday,7,2015,,
2015-07-22,d_1636,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Wednesday,7,2015,,
2015-07-23,d_1637,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,6,3.42,20.52,Thursday,7,2015,,
2015-07-24,d_1638,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Friday,7,2015,,
2015-07-25,d_1639,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Saturday,7,2015,,
2015-07-26,d_1640,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,22,3.42,75.24,Sunday,7,2015,,
2015-07-27,d_1641,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Monday,7,2015,,
2015-07-28,d_1642,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Tuesday,7,2015,,
2015-07-29,d_1643,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Wednesday,7,2015,,
2015-07-30,d_1644,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Thursday,7,2015,,
2015-07-31,d_1645,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Friday,7,2015,,
2015-08-01,d_1646,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Saturday,8,2015,,
2015-08-02,d_1647,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,37,3.42,126.53999999999999,Sunday,8,2015,,
2015-08-03,d_1648,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,21,3.42,71.82,Monday,8,2015,,
2015-08-04,d_1649,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Tuesday,8,2015,,
2015-08-05,d_1650,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,23,3.42,78.66,Wednesday,8,2015,,
2015-08-06,d_1651,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,24,3.42,82.08,Thursday,8,2015,,
2015-08-07,d_1652,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Friday,8,2015,,
2015-08-08,d_1653,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,22,3.42,75.24,Saturday,8,2015,,
2015-08-09,d_1654,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,27,3.42,92.34,Sunday,8,2015,,
2015-08-10,d_1655,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,21,3.42,71.82,Monday,8,2015,,
2015-08-11,d_1656,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Tuesday,8,2015,,
2015-08-12,d_1657,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Wednesday,8,2015,,
2015-08-13,d_1658,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Thursday,8,2015,,
2015-08-14,d_1659,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Friday,8,2015,,
2015-08-15,d_1660,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,4,3.42,13.68,Saturday,8,2015,,
2015-08-16,d_1661,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,22,3.42,75.24,Sunday,8,2015,,
2015-08-17,d_1662,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,21,3.42,71.82,Monday,8,2015,,
2015-08-18,d_1663,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,24,3.42,82.08,Tuesday,8,2015,,
2015-08-19,d_1664,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Wednesday,8,2015,,
2015-08-20,d_1665,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Thursday,8,2015,,
2015-08-21,d_1666,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Friday,8,2015,,
2015-08-22,d_1667,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Saturday,8,2015,,
2015-08-23,d_1668,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,39,3.42,133.38,Sunday,8,2015,,
2015-08-24,d_1669,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Monday,8,2015,,
2015-08-25,d_1670,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Tuesday,8,2015,,
2015-08-26,d_1671,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,9,3.42,30.78,Wednesday,8,2015,,
2015-08-27,d_1672,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Thursday,8,2015,,
2015-08-28,d_1673,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,6,3.42,20.52,Friday,8,2015,,
2015-08-29,d_1674,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Saturday,8,2015,,
2015-08-30,d_1675,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,33,3.42,112.86,Sunday,8,2015,,
2015-08-31,d_1676,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Monday,8,2015,,
2015-09-01,d_1677,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,5,3.42,17.1,Tuesday,9,2015,,
2015-09-02,d_1678,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Wednesday,9,2015,,
2015-09-03,d_1679,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Thursday,9,2015,,
2015-09-04,d_1680,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,33,3.42,112.86,Friday,9,2015,,
2015-09-05,d_1681,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,11,3.42,37.62,Saturday,9,2015,,
2015-09-06,d_1682,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Sunday,9,2015,,
2015-09-07,d_1683,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Monday,9,2015,LaborDay,National
2015-09-08,d_1684,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,10,3.42,34.2,Tuesday,9,2015,,
2015-09-09,d_1685,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Wednesday,9,2015,,
2015-09-10,d_1686,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Thursday,9,2015,,
2015-09-11,d_1687,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Friday,9,2015,,
2015-09-12,d_1688,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Saturday,9,2015,,
2015-09-13,d_1689,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,35,3.42,119.7,Sunday,9,2015,,
2015-09-14,d_1690,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Monday,9,2015,,
2015-09-15,d_1691,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Tuesday,9,2015,,
2015-09-16,d_1692,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Wednesday,9,2015,,
2015-09-17,d_1693,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Thursday,9,2015,,
2015-09-18,d_1694,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Friday,9,2015,,
2015-09-19,d_1695,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Saturday,9,2015,,
2015-09-20,d_1696,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,29,3.42,99.17999999999999,Sunday,9,2015,,
2015-09-21,d_1697,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,22,3.42,75.24,Monday,9,2015,,
2015-09-22,d_1698,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Tuesday,9,2015,,
2015-09-23,d_1699,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Wednesday,9,2015,,
2015-09-24,d_1700,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,9,3.42,30.78,Thursday,9,2015,EidAlAdha,Religious
2015-09-25,d_1701,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,8,3.42,27.36,Friday,9,2015,,
2015-09-26,d_1702,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,32,3.42,109.44,Saturday,9,2015,,
2015-09-27,d_1703,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,28,3.42,95.75999999999999,Sunday,9,2015,,
2015-09-28,d_1704,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Monday,9,2015,,
2015-09-29,d_1705,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Tuesday,9,2015,,
2015-09-30,d_1706,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,9,3.42,30.78,Wednesday,9,2015,,
2015-10-01,d_1707,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Thursday,10,2015,,
2015-10-02,d_1708,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,21,3.42,71.82,Friday,10,2015,,
2015-10-03,d_1709,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Saturday,10,2015,,
2015-10-04,d_1710,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,25,3.42,85.5,Sunday,10,2015,,
2015-10-05,d_1711,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,24,3.42,82.08,Monday,10,2015,,
2015-10-06,d_1712,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,22,3.42,75.24,Tuesday,10,2015,,
2015-10-07,d_1713,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Wednesday,10,2015,,
2015-10-08,d_1714,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Thursday,10,2015,,
2015-10-09,d_1715,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Friday,10,2015,,
2015-10-10,d_1716,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,20,3.42,68.4,Saturday,10,2015,,
2015-10-11,d_1717,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,30,3.42,102.6,Sunday,10,2015,,
2015-10-12,d_1718,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Monday,10,2015,ColumbusDay,National
2015-10-13,d_1719,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,9,3.42,30.78,Tuesday,10,2015,,
2015-10-14,d_1720,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Wednesday,10,2015,,
2015-10-15,d_1721,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Thursday,10,2015,,
2015-10-16,d_1722,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,5,3.42,17.1,Friday,10,2015,,
2015-10-17,d_1723,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,22,3.42,75.24,Saturday,10,2015,,
2015-10-18,d_1724,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,25,3.42,85.5,Sunday,10,2015,,
2015-10-19,d_1725,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,20,3.42,68.4,Monday,10,2015,,
2015-10-20,d_1726,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,28,3.42,95.75999999999999,Tuesday,10,2015,,
2015-10-21,d_1727,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,11,3.42,37.62,Wednesday,10,2015,,
2015-10-22,d_1728,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Thursday,10,2015,,
2015-10-23,d_1729,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Friday,10,2015,,
2015-10-24,d_1730,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,22,3.42,75.24,Saturday,10,2015,,
2015-10-25,d_1731,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Sunday,10,2015,,
2015-10-26,d_1732,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Monday,10,2015,,
2015-10-27,d_1733,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Tuesday,10,2015,,
2015-10-28,d_1734,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Wednesday,10,2015,,
2015-10-29,d_1735,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,10,3.42,34.2,Thursday,10,2015,,
2015-10-30,d_1736,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Friday,10,2015,,
2015-10-31,d_1737,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,10,3.42,34.2,Saturday,10,2015,Halloween,Cultural
2015-11-01,d_1738,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,26,3.42,88.92,Sunday,11,2015,,
2015-11-02,d_1739,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,23,3.42,78.66,Monday,11,2015,,
2015-11-03,d_1740,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Tuesday,11,2015,,
2015-11-04,d_1741,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,28,3.42,95.75999999999999,Wednesday,11,2015,,
2015-11-05,d_1742,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Thursday,11,2015,,
2015-11-06,d_1743,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Friday,11,2015,,
2015-11-07,d_1744,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,25,3.42,85.5,Saturday,11,2015,,
2015-11-08,d_1745,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,24,3.42,82.08,Sunday,11,2015,,
2015-11-09,d_1746,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Monday,11,2015,,
2015-11-10,d_1747,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Tuesday,11,2015,,
2015-11-11,d_1748,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,23,3.42,78.66,Wednesday,11,2015,VeteransDay,National
2015-11-12,d_1749,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Thursday,11,2015,,
2015-11-13,d_1750,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Friday,11,2015,,
2015-11-14,d_1751,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,11,3.42,37.62,Saturday,11,2015,,
2015-11-15,d_1752,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Sunday,11,2015,,
2015-11-16,d_1753,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Monday,11,2015,,
2015-11-17,d_1754,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Tuesday,11,2015,,
2015-11-18,d_1755,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,21,3.42,71.82,Wednesday,11,2015,,
2015-11-19,d_1756,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Thursday,11,2015,,
2015-11-20,d_1757,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Friday,11,2015,,
2015-11-21,d_1758,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,6,3.42,20.52,Saturday,11,2015,,
2015-11-22,d_1759,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Sunday,11,2015,,
2015-11-23,d_1760,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,26,3.42,88.92,Monday,11,2015,,
2015-11-24,d_1761,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,6,3.42,20.52,Tuesday,11,2015,,
2015-11-25,d_1762,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Wednesday,11,2015,,
2015-11-26,d_1763,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,2,3.42,6.84,Thursday,11,2015,Thanksgiving,National
2015-11-27,d_1764,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.42,23.939999999999998,Friday,11,2015,,
2015-11-28,d_1765,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,8,3.42,27.36,Saturday,11,2015,,
2015-11-29,d_1766,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Sunday,11,2015,,
2015-11-30,d_1767,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.42,47.879999999999995,Monday,11,2015,,
2015-12-01,d_1768,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Tuesday,12,2015,,
2015-12-02,d_1769,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.42,41.04,Wednesday,12,2015,,
2015-12-03,d_1770,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,20,3.42,68.4,Thursday,12,2015,,
2015-12-04,d_1771,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,21,3.42,71.82,Friday,12,2015,,
2015-12-05,d_1772,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,23,3.42,78.66,Saturday,12,2015,,
2015-12-06,d_1773,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,25,3.42,85.5,Sunday,12,2015,,
2015-12-07,d_1774,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Monday,12,2015,,
2015-12-08,d_1775,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,9,3.42,30.78,Tuesday,12,2015,,
2015-12-09,d_1776,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,25,3.42,85.5,Wednesday,12,2015,,
2015-12-10,d_1777,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.42,44.46,Thursday,12,2015,,
2015-12-11,d_1778,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,16,3.42,54.72,Friday,12,2015,,
2015-12-12,d_1779,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Saturday,12,2015,,
2015-12-13,d_1780,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.42,61.56,Sunday,12,2015,,
2015-12-14,d_1781,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Monday,12,2015,Chanukah End,Religious
2015-12-15,d_1782,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,11,3.42,37.62,Tuesday,12,2015,,
2015-12-16,d_1783,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,9,3.42,30.78,Wednesday,12,2015,,
2015-12-17,d_1784,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Thursday,12,2015,,
2015-12-18,d_1785,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,8,3.42,27.36,Friday,12,2015,,
2015-12-19,d_1786,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,17,3.42,58.14,Saturday,12,2015,,
2015-12-20,d_1787,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,28,3.42,95.75999999999999,Sunday,12,2015,,
2015-12-21,d_1788,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.42,64.98,Monday,12,2015,,
2015-12-22,d_1789,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.42,51.3,Tuesday,12,2015,,
2015-12-23,d_1790,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,10,3.42,34.2,Wednesday,12,2015,,
2015-12-24,d_1791,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,11,3.42,37.62,Thursday,12,2015,,
2015-12-25,d_1792,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,0,3.42,0.0,Friday,12,2015,Christmas,National
